,Sentence,pred_sentiment
95,"adp news - jan 13 , 2009 - finnish industrial and environmental measurement equipment maker vaisala oyj omx : vaias said yesterday it will develop an operational reference radiosonde for climate change observations .",neutral
96,teliasonera has secured deliveries for 4g modems with support for 3g and 2g during the second quarter 2010 .,positive
97,the previous offer was 3.4 % of voting rights and 12.3 % of capital .,neutral
98,ea launches origin online game distribution for mac http://stks.co/aktu via macrumors $ea,neutral
99,acquisitions have been made and businesses have been well integrated .,neutral
100,expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,neutral
101,"yara suomi ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",neutral
102,"alexandria , va. , march 20 -- patrik flykt and timo alakoski , both of helsinki , finland , and tapio suihko and nadarajah asokan , both of espoo , finland , have developed a method of mobility support of internet-type protocol traffic in a communication system .",neutral
103,"proving that good cellphone design is truly a work of art , the website for the nokia 6131 provides a colorful canvas for the expression of mobile-inspired sentiments .",positive
104,equity indexes working on a positive engulfing for march. $sml $rut $iwc $smh $sox  small-caps / semis with a fakeout before the b/out.,neutral
105,finnish metal components supplier componenta oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,positive
106,the seawind that was en route from the finnish port of turku to stockholm got stuck in ice already around 4 p.m. on wednesday and the regal star 's journey from the swedish port of kapellskar to paldiski in northwestern estonia was cut short at 2 a.m. on thursday .,neutral
107,"agj recorded eur 43 mln sales in 2006 , most of which was generated by exports to customers in western europe , the statement said .",neutral
108,alma media expects its net sales to increase as forecast previously .,neutral
109,poyry is recognized as one of the world 's leading advisors to the global forestry industry .,neutral
110,"finnish cargotec 's kalmar , the business area providing container handling solutions , has been awarded an order for a further ten e-one rubber-tyred gantry rtg cranes from saigon newport company snp , in vietnam .",positive
111,$goog breakout very likely medium target $700+ http://stks.co/1lpz http://chart.ly/lgb94rr,neutral
112,"26 october 2010 - finnish environmental management company lassila & tikanoja oyj ( hel : lat1v ) , or l&t , said today its net profit declined to eur20 .9 m for the first nine months of 2010 from eur27 .6 m for the same period a year earlier .",positive
113,"in the baltic states the company reports net sales of eur 11.9 mn , down from eur 14.2 mn , and an operative ebit of eur -2.2 mn , down from eur -1.7 mn .",neutral
114,the company said that the fall in turnover had been planned .,neutral
115,"about 36 % of this came from aspo chemicals , 39 % from aspo shipping and 25 % from aspo systems .",neutral
116,earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur .,neutral
117,"luna took fifth place on six-under 207 , a shot behind spain 's beatriz recari and germany 's martina eberl , while welsh player becky brewerton was the highest-placed british finisher , sharing seventh place on three-under 210 after shooting 71 .",neutral
118,"the decision of the french court relates to the claims raised by twenty-one former aspocomp s.a.s employees , the company said .",neutral
119,"samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",neutral
120,nokia siemens networks has struggled to make a profit in the past two years .,neutral
121,the insurance division turned a eur120m profit .,positive
122,net profit in the period in 2009 was ( euro ) 29 million .,positive
123,capman made its initial investment in onemed in june 2006 .,neutral
124,"on the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases .",neutral
125,okmetic has used the furnaces for the contract manufacturing of solar crystals .,neutral
126,"nevertheless , the development can not be allowed to ruin the print newspaper , which continues to be sanoma news ' main medium .",negative
127,"adp news - apr 22 , 2009 - finnish business information systems developer solteq oyj hel : stq1v said today its net loss widened to eur 189,000 usd 245,000 for the first quarter of 2009 from eur 10,000 for the same peri",neutral
128,benefon will turn the salo unit into a b2b business unit and establish a b2c business unit in the uk .,neutral
129,results are expected late in 2006 .,neutral
130,"$gild sandbagged the guidance so the can use that last 3 billion up.  cc was cautiously optimistic, wait til next er for confirmation",neutral
131,fi is developing cooperation in keyword advertising with microsoft .,neutral
132,"the contract value amounts to about eur11m , the company added .",neutral
133,"kalnapilio-tauro grupe ( kalnapilis-tauras group ) , which is owned by denmark 's royal unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .",neutral
134,"a total of 185 wonderware certified sis are available to integrate and support wonderware products such as intouch -« hmi software , industrialsql server historian , wonderware information server , dt analyst software or qi analyst spc software .",neutral
135,timo penttila has been appointed new manager responsible for the asset management of nordea 's institutional customers in finland .,positive
136,"the company 's goal is to achieve annual savings of eur 2 million ( usd 2.7 m ) , of which two thirds are to be realized in 2010 .",positive
137,"the company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and readychex .",neutral
138,"in china , finnish kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between beijing and shanghai in a 1.5 years ' time .",neutral
139,"financialwire ( tm ) , in cooperation with the investrend broadcast syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the firstalert ( tm ) networks oefirstalert ( tm ) daily .",neutral
140,return on investment was 16.6 % compared to 15.8 % in 2004 .,neutral
141,"the omx helsinki 25 ended 0.47 pct lower at 3,150.55 and the omx helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",neutral
142,"the decision of tekes was based on , among other , the following grounds : the project has a significant impact on the business development of the company .",neutral
143,stuk today is a full service house expert in radiation and nuclear safety issues .,neutral
144,"in april 2005 , neste separated from its parent company , finnish energy company fortum , and became listed on the helsinki stock exchange .",neutral
145,"finnish bank of +àland reports operating profit of eur 2.2 mn in the first quarter of 2010 , down from eur 6.3 mn in the corresponding period in 2009 .",positive
146,nordea group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive
147,looking for a strong bounce $spy -- lunchtime rally coming. $dia $iwm $qqq $aa $fb,positive
148,`` fixed mobile convergence solutions represent a key value proposition in today 's communication market .,positive
149,"most of the growth in beer consumption took place in the far east , latin america and africa .",neutral
150,"qualcomm: 10% dividend increase rewards patient investors, the future looks bright https://t.co/tjjvpqhhqd $qcom",positive
151,he is resting comfortably and is looking forward to getting back to work . '',neutral
152,"the e7 smartphone will be available for rs35 ,000 per handset across india , '' nokia india vice-president & managing director d shivakumar told reporters .",neutral
153,stockmann was established in 1862 in finland and it became the first foreign company to enter russia 's retail trade market in 1989 .,neutral
154,"operating loss totalled eur 0.3 mn , down from a profit of eur 5.1 mn in the first half of 2009 .",neutral
155,"operating profit totalled eur 9.0 mn , down from eur 9.7 mn in the first half of 2008 .",positive
156,$rnn more bleeding monday.,neutral
157,"nordstjernan will make the offer in approximately one month , in september 2007 .",neutral
158,"so mr. galvan made savings adjustments of his own , buying less liquor and watching portion sizes .",positive
159,"the parties have agreed not to disclose the price of the deal , the group said in a press release .",positive
160,"alexandria , va. , march 15 -- jaakko vilo of turku , finland , has developed a panel press .",neutral
161,"liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .",neutral
162,antniemi refuted a report by the finnish daily turun sanomat as if the company was reorganizing its operations in the baltic countries .,neutral
163,"pnc, goldman sachs receive dividend hike green light (but don't act): http://stks.co/2pa7 $pnc $gs",neutral
164,"following the payment made in april , the company has a total of eur 23.0 million in loans from financial institutions .",neutral
165,"these companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in liljeholmen , stockholm .",neutral
166,profit for the period increased from eur 2.9 mn to eur 10.5 mn .,positive
167,"$qihu totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",neutral
168,"the utility will also provide services related to electricity management , such as hedging trades and risk management and reporting .",neutral
169,"$ko had missed earnings expectations for the last two quarters, so todays strong results came as a major surprise http://stks.co/d0rhf",positive
170,latvia 's stockmann shopping mall is a subsidiary of finland 's stockmann plc. .,neutral
171,"finnish investment group neomarkka oyj ( hel : nembv ) said today that it will buy the former production facilities of kuitu finland ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",neutral
172,"in january-september 2007 , the group 's net sales from continuing operations rose to eur 213.1 mn from eur 172.6 mn in the corresponding period in 2006 .",neutral
173,"simultaneously with this merger plan another merger plan has been signed , according to which suomen projektivuokraus oy , a subsidiary of vtm-rakennuskonevuokraamo oy , would be merged with vtm-rakennuskonevuokraamo oy .",neutral
174,"finnish electronics contract manufacturer scanfil reports net sales of eur 58.9 mn in the second quarter of 2007 , down from eur 62.4 mn a year earlier .",neutral
175,"`` beyond the improved voice capabilities , customers now have a streamlined way to comply with recalls and other traceability requirements , providing them with a competitive advantage .",positive
176,corrected-shire to buy dyax for about $5.9 bln,neutral
177,"it also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by vaahto in 2001 .",neutral
178,nokia is also negotiating the product portfolio of the new company .,neutral
179,glencore slumps 30 percent as debt fears grow,negative
180,the value of the order is eur 4mn .,neutral
181,the company said that it has agreed to a eur160m unsecured credit line from lenders .,neutral
182,"the agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .",positive
183,$bbry sierra. has a great cash balance and impressive growth rate.would be a wonderful marriage!,positive
184,"profit after taxes for the period was up to eur0 .9 m , from eur0 .01 m last year .",positive
185,"oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",neutral
186,"neste oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",negative
187,the net sales decreased to eur 49.8 million from eur 59.9 million .,neutral
188,"in 2007 , etteplan had turnover of eur125 .2 m.",neutral
189,pretax profit rose to eur 0.6 mn from eur 0.4 mn in the corresponding period in 2005 .,positive
190,"net sales of finnish sanoma learning & literature , of finnish media group sanoma , decreased by 3.6 % in january-june 2009 totalling eur 162.8 mn , down from eur 168.8 mn in the corresponding period in 2008 .",neutral
191,the size of a cider bottle will remain unchanged .,neutral
192,finlan 's listed food industry company hkscan group controlled companies in the baltics improved revenues by eur 3.5 mn to eur 160.4 mn in 2010 from eur 156.9 mn in the year before .,positive
193,revenue in the quarter fell 8 percent to ( euro ) 2.4 billion compared to a year earlier .,neutral
194,ebit excluding non-recurring items was estimated to increase from 2009 .,neutral
195,what we think ?,neutral
196,keith skeoch to step up as david nish quits as chief executive of standard life,neutral
197,"the upgrade is intended to raise the network capacity from 450 mhz to 630 mhz in several cities , enabling bi-directional services for digital television as well as broadband data .",neutral
198,no financial details were provided .,neutral
199,tesco share price tumbles after negative broker note,neutral
200,"according to finnish l+ñnnen tehtaat 's ceo matti karppinen , now that l+ñnnen tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions .",neutral
201,"finnish it consultancy satama interactive oyj said on november 13 , 2006 that jarmo lonnfors took up the position of ceo .",neutral
202,"according to the company , the lay-offs will be temporary .",neutral
203,"cargo traffic fell 1 % year-on-year to 8,561 tonnes in september 2009 .",neutral
204,rihko started to manage raisio 's benecol business in summer 2006 after heading tobacco company altadis ' european operations .,neutral
205,the financial statements and interim reports will be released around at 9.00 a.m. ( finnish time ) on the given dates .,neutral
206,"the company was supposed to deliver machinery to a veneer mill in the tomsk region , in russia .",neutral
207,"in the building and home improvement trade , net sales totalled eur 1,173 mn , down from eur 1,566 mn a year earlier .",positive
208,"the talks involved the food and ingredients divisions , as well as group service functions , the company said .",neutral
209,lloyds banking group's share price lifts amid reports bank is poised to axe hundreds of uk jobs,neutral
210,"outokumpu of finland , stainless steel manufacturer , plans to enter into a supply agreement with the indian railways .",positive
211,shire share price under pressure after $32bn baxalta deal,neutral
212,"however , he expects banks to provide alternative financing .",neutral
213,"it would be premature to talk about dates , volume and the investment procedure , '' he said .",neutral
214,"the russian government will contribute 20 % of the necessary funds , he said .",neutral
215,we are now in a position to pursue novel clinical candidates going forward . '',neutral
216,cymed 's net sales are expected to amount to eur 3.5 mn in 2006 .,neutral
217,"operating profit decreased to nearly eur 1.7 mn , however .",positive
218,"following the acquisitions , panostaja will establish a new business unit which will focus on heat treatment of metals .",neutral
219,"finland 's neste oil has been awarded the chemical industry federation of finland 's innovation award for its nexbtl technology , which enables biodiesel to be produced from vegetable oil and animal fat .",positive
220,the finnish paints company acquired the remaining 49 pct that it did not own from ukraine 's lgu for an undisclosed sum .,neutral
221,atria will also buy the shares of kauhajoen teurastamokiinteistot oy (kauhajoki slaughterhouse property)from itikka co-operative .,neutral
222,terms of the acquisition were not disclosed .,neutral
223,"combined with the basware enterprise purchase to pay portfolio , it provides a high level of automation for procurement and invoice workflows .",neutral
224,"the company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",neutral
225,rsa insurance hires towergate's egan as chief financial officer,neutral
226,"via the move , the company aims annual savings of some eur 3 million usd 4.3 m , the main part of which are expected to be realized this year .",positive
227,"however , the bottom-line result improved thanks to positive financial items .",positive
228,$nflx +3% of the lows,neutral
229,nyse owner ice may gatecrash deutsche boerse-lse merger,neutral
230,"ahlstrom , headquartered in helsinki , finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .",neutral
231,$dmnd green and moving,neutral
232,"in q2 of 2009 , profit before taxes amounted to eur 13.6 mn , down from eur 26.8 mn in q2 of 2008 .",positive
233,the value of this kind of order amounts usually between euro 2 and 3 million .,positive
234,"the cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",neutral
235,the increase range will vary up to 10 % .,neutral
236,lse-deutsche boerse merger would signal end to exchange mega-deals,neutral
237,operating profit for continuing operations fell to eur 48.3 mn from eur 72.4 mn in the first half of 2007 .,positive
238,the company then said it will focus its resources on clinical research .,neutral
239,glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,neutral
240,"the tekla structures 16 installation has been built according to microsoft 's requirements for the windows 7 certification , the company added .",neutral
241,astrazeneca acquires zs pharma in $2.7 billion deal,neutral
242,london marketwatch -- share prices ended lower in london monday as a rebound in bank stocks failed to offset broader weakness for the ftse 100 .,negative
243,kone shares dropped 4.1 percent to  x20ac 43 us$ 55.77 in helsinki .,neutral
244,"in 2007 , huhtamaki will continue to invest in organic growth .",neutral
245,"the daily graphic newspaper , in october , reported an initiative being embarked upon by the fidelity bank to partner ghana post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",neutral
246,"glaston 's own glass processing unit , tamglass glass processing , is a manufacturer of high quality safety glass products operating in finland .",neutral
247,"of these shares 14,747,084 are held by the company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",positive
248,"u.k. stocks little changed near record as barclays, shell fall",neutral
249,$amrn got sell signal 7/1/14 still in force with target below 1.50,neutral
250,"mr. mikko saavalainen , head of comptel 's global sales concludes : `` gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their oss today .",positive
251,"alexandria , va. , oct. 6 -- united states patent no. 7,804,288 , issued on sept. 28 , was assigned to vacon oyj ( vaasa , finland ) .",neutral
252,finnish food industry companies hk ruokatalo and atria will form a joint venture company called l+ñnsi-kalkkuna to produce turkey meat .,neutral
253,"its annual capacity is some 10,000 mw .",neutral
254,"s&p has kept its `` sell '' rating , while nordea and ubs have reaffirmed their `` buy '' recommendations .",neutral
255,operating profit excluding restructuring costs grew to eur 44.5 million from eur 31.7 million while operating profit including restructuring costs showed even larger growth to eur 38.5 million from eur 7.4 million .,positive
256,"revenue from july to september grew 21 percent to euro 2.3 billion , the finnish company said thursday .",neutral
257,operating profit rose to eur 13.1 mn from eur 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive
258,$kcg bot at 2.24,neutral
259,"in finland , the bank of +àland reports its operating profit fell to eur 6.1 mn in the second quarter of 2008 from eur 7.5 mn in the second quarter of 2007 .",positive
260,"in a separate announcement to the helsinki stock exchange , atria revealed that the company 's third quarter profits declined from eur13 .9 m in the third quarter of last year to eur12 .7 m in this year 's q3 .",positive
261,the finnish group anticipates a sales gain of eur42m after tax and expenses .,positive
262,"operating loss of the pulp & paper machinery unit was over eur 3mn in september 2007 - august 2008 , compared to a profit of eur 3.7 mn a year earlier .",neutral
263,"in the baltic countries , sales fell by 40.2 % , and in russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",neutral
264,companieskingfisher bid for mr bricolage runs into trouble,neutral
265,"the fair value change of investment properties was eur 15.8 mn , compared to eur 22.9 mn in the third quarter of 2009 .",positive
266,the company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,neutral
267,the investment would be some eur5m .,neutral
268,"according to finnish insurance companies tapiola , local insurance group ( l+ñhivakuutus ) , and pohjola the two fierce storms at the end of july and in the beginning of august 2010 that felled trees around finland have speeded up sales of forest insurance .",neutral
269,$gld http://stks.co/44ow on closer inspection.  resistance 10 points north at 200d and downward trendline. chart 2 of 2.,neutral
270,in sweden the agreement covers data communication services as well .,positive
271,$kep breaking out when the market pulls back  http://stks.co/r0cet,neutral
272,"the latest date for registration is on 4 april , 2006 .",neutral
273,mr skogster currently serves as the manager responsible for abb oy 's system modules for low voltage drives .,neutral
274,"pretax profit totaled eur 9.0 mn , down from eur 36.3 mn in 2007 .",positive
275,the rationalization of the operations seeks to achieve over eur 1 million in yearly savings as from the second quarter of the current financial year .,positive
276,metso 's delivery will include a complete coated board line with related air systems and two winders .,neutral
277,the reductions will be concluded by autumn 2010 .,neutral
278,the company also said that its board of directors has proposed a profit distribution of eur0 .92 per share .,positive
279,$mpwr ceo sells 450k april 15th..meh,neutral
280,"please inform ir johanna koskinen of your participation no later than 20 april at 10 a.m. a telephone conference for financial analysts and investors , conducted in english , will begin at 3:00 p.m. finnish time ( eet ) .",neutral
281,the bank forecasts finland 's gdp will grow by 2 % in 2010 and in 2011 .,neutral
282,"$hlf shorts made a killing last couple days, might make more if cover and buy back?",negative
283,"adpnews - aug 3 , 2009 - finnish media group ilkka-yhtyma oyj hel : ilk2s said today its net profit fell 45 % on the year to eur 5.9 million usd 8.4 m in the first half of 2009 .",positive
284,chief financial officer jim heindlmeyer said beyond oblivion is in advanced talks with the four major recording companies about its service .,neutral
285,"in addition , the production at the varpaisj+â rvi factory will be stopped at the beginning of april 2009 .",neutral
286,e 's building system service had revenue of eur 355 mln in 2007 .,neutral
287,most of the increase in net sales was due to the acquisition of swedish silva that produces garden tools and boats .,neutral
288,"budapest , august 10 mti - finnish electronics maker elcoteq will lay off 700 workers at its plants in pecs s hungary at the end of september because of falling orders , communications director for elcoteq 's local unit , zoltan krippl told mti on monday .",neutral
289,"the product range includes marinated olives , cold cuts , and pates , for example .",neutral
290,aldata noted that its voice supply chain technology approach enables vdw to integrate with warehouse management systems .,neutral
291,nasdaq-listed yahoo inc has introduced a new service that enables malaysians to take their favorite internet content and services with them on their mobile phones .,positive
292,"of these shares 29,659,239 are held by the company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",positive
293,"srv will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",positive
294,"$p bull flag on the daily, earnings on the table tomorrow +/-12 move.will straddle this one into earnings..lots of vol guaranteed here",neutral
295,sainsbury sales slip again as price pressures take a toll,neutral
296,"since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",neutral
